studyCode,Study,t1,t2,treat1,treat2,lab1,lab2,hr,lower,upper
1,Checkmate227,1,2,che,niv+ipi,che,niv+ipi,0.69,0.52,0.91
2,Impower132,1,3,che,ate+che,che,ate+che,0.73,0.31,1.73
3,Impower150,4,3,bev+che,ate+che,bev+che,ate+che,0.76,0.49,1.17
3,Impower150,4,5,bev+che,ate+bev+che,bev+che,ate+bev+che,0.7,0.46,1.08
3,Impower150,3,5,ate+che,ate+bev+che,ate+che,ate+bev+che,0.92,0.5,1.69
4,Keynote189,1,6,che,pem+che,che,pem+che,0.59,0.4,0.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
