studyCode,Study,t1,t2,treat1,treat2,lab1,lab2,hr,lower,upper
1,Checkmate9LA,1,2,che,niv+ipi+che,che,niv+ipi+che,0.75,0.54,1.04
2,Impower132,1,3,che,ate+che,che,ate+che,0.75,0.54,1.04
3,Impower150,4,3,bev+che,ate+che,bev+che,ate+che,0.75,0.54,1.04
3,Impower150,4,5,bev+che,ate+bev+che,bev+che,ate+bev+che,0.75,0.54,1.04
3,Impower150,3,5,ate+che,ate+bev+che,ate+che,ate+bev+che,0.75,0.54,1.04
4,Keynote189,1,6,che,pem+che,che,pem+che,0.75,0.54,1.04
